Neuron1,Neuron2,Type,Nbr
RIMR,RMDR,S,1
RIS,RMDR,S,3
RIVR,RMDR,S,1
RMDL,RMDR,S,3
RMDVR,RMDR,EJ,1
RMFL,RMDR,S,3
RMGL,RMDR,S,2
RMGR,RMDR,S,2
RMHL,RMDR,S,1
URBR,RMDR,S,1
URXR,RMDR,S,1
CEPDL,RMDVL,S,2
IL1DL,RMDVL,S,4
IL1L,RMDVL,S,4
IL1R,RMDVL,S,1
OLLL,RMDVL,S,1
OLQVR,RMDVL,S,4
RIAL,RMDVL,S,8
RIAR,RMDVL,S,12
RMDDR,RMDVL,S,11
AVER,RMDVL,EJ,1
OLQDL,RMDVL,EJ,1
RMDDL,RMDVL,EJ,1
RMDL,RMDVL,EJ,1
RMDVR,RMDVL,EJ,1
SAAVL,RMDVL,EJ,1
SMDVL,RMDVL,EJ,1
RMGL,RMDVL,S,3
URAVR,RMDVL,S,1
URYDL,RMDVL,S,4
URYVR,RMDVL,S,3
CEPDR,RMDVR,S,2
IL1DR,RMDVR,S,5
IL1L,RMDVR,S,2
IL1R,RMDVR,S,4
OLLR,RMDVR,S,3
OLQVL,RMDVR,S,3
RIAL,RMDVR,S,9
RIAR,RMDVR,S,9
RIVR,RMDVR,S,1
RMDDL,RMDVR,S,7
AVEL,RMDVR,EJ,1
AVER,RMDVR,EJ,1
OLQDR,RMDVR,EJ,1
RMDDR,RMDVR,EJ,1
RMDR,RMDVR,EJ,1
RMDVL,RMDVR,EJ,1
SAAVR,RMDVR,EJ,1
SMDVR,RMDVR,EJ,1
RMGR,RMDVR,S,5
URADR,RMDVR,S,1
URYDR,RMDVR,S,4
URYVL,RMDVR,S,2
IL2DR,RMED,S,1
IL1VL,RMED,EJ,1
RIPL,RMED,EJ,1
RIPR,RMED,EJ,1
RMEV,RMED,EJ,2
SMBDL,RMED,S,3
SMBDR,RMED,S,4
URADR,RMED,S,1
IL1R,RMEL,S,2
IL2DL,RMEL,S,4
IL2DR,RMEL,S,2
IL2R,RMEL,S,2
IL2VL,RMEL,S,1
IL2VR,RMEL,S,3
OLLL,RMEL,S,2
RIGL,RMEL,EJ,1
RMEV,RMEL,EJ,1
URADL,RMEL,S,1
URAVL,RMEL,S,1
IL1L,RMER,S,1
IL1VR,RMER,S,1
IL2DL,RMER,S,3
IL2DR,RMER,S,2
IL2L,RMER,S,2
IL2VL,RMER,S,4
IL2VR,RMER,S,2
OLLR,RMER,S,2
OLQVR,RMER,S,1
RIH,RMER,S,2
RMDL,RMER,S,1
RMEV,RMER,EJ,1
RMHR,RMER,S,1
URADR,RMER,S,1
URAVL,RMER,S,1
URAVR,RMER,S,2
IL2DR,RMEV,S,1
IL2L,RMEV,S,2
IL2R,RMEV,S,1
IL2VL,RMEV,S,1
IL2VR,RMEV,S,3
PVT,RMEV,S,1
RIH,RMEV,S,1
RIVR,RMEV,S,1
AVEL,RMEV,EJ,1
AVER,RMEV,EJ,1
IL1DL,RMEV,EJ,1
IL1DR,RMEV,EJ,1
RMED,RMEV,EJ,2
RMEL,RMEV,EJ,1
RMER,RMEV,EJ,1
SMBVL,RMEV,S,4
SMBVR,RMEV,S,3
URAVL,RMEV,S,2
URAVR,RMEV,S,2
AVKR,RMFL,S,1
DVC,RMFL,S,2
PVT,RMFL,S,2
RIGL,RMFL,S,1
RIMR,RMFL,S,1
RMDL,RMFL,S,1
URBR,RMFL,EJ,1
SAADR,RMFL,S,1
SDQL,RMFL,S,1
AVKL,RMFR,S,1
DVC,RMFR,S,4
PVT,RMFR,S,2
RICL,RMFR,S,1
RIML,RMFR,S,1
RIMR,RMFR,S,1
SAAVL,RMFR,S,2
ADEL,RMGL,S,1
AIAL,RMGL,S,1
ALML,RMGL,S,1
CEPDL,RMGL,S,3
PVQL,RMGL,S,1
ADLL,RMGL,EJ,1
ASHL,RMGL,EJ,1
ASKL,RMGL,EJ,1
AWBL,RMGL,EJ,1
IL2L,RMGL,EJ,1
RMHL,RMGL,EJ,3
URXL,RMGL,EJ,1
RMHR,RMGL,S,1
SAADR,RMGL,S,1
URXL,RMGL,S,2
AIMR,RMGR,S,1
ASHR,RMGR,S,2
CEPDR,RMGR,S,1
HSNR,RMGR,S,1
PVPR,RMGR,S,1
RMFL,RMGR,S,1
ASHR,RMGR,EJ,1
ASKR,RMGR,EJ,1
AWBR,RMGR,EJ,1
IL2R,RMGR,EJ,1
RMHR,RMGR,EJ,1
URXR,RMGR,EJ,1
SAADL,RMGR,S,1
URXR,RMGR,S,1
ADEL,RMHL,S,1
CEPDR,RMHL,S,4
CEPVL,RMHL,S,1
IL1R,RMHL,S,1
RIGR,RMHL,S,4
RMGL,RMHL,EJ,3
SIBVR,RMHL,EJ,1
SDQR,RMHL,S,2
ALNR,RMHR,S,1
CEPDL,RMHR,S,3
CEPDR,RMHR,S,1
CEPVR,RMHR,S,2
OLQDR,RMHR,S,1
RIGL,RMHR,S,3
RMGL,RMHR,S,1
RMGR,RMHR,EJ,1
SDQR,RMHR,S,1
AIBL,SAADL,S,2
AIBR,SAADL,S,1
AVKR,SAADL,S,1
BDUL,SAADL,S,1
PLNL,SAADL,S,5
RIVR,SAADL,S,2
SMBDL,SAADL,EJ,1
SMBVL,SAADL,S,3
AIBL,SAADR,S,2
AVKL,SAADR,S,1
DVA,SAADR,S,1
PLNR,SAADR,S,4
RIAR,SAADR,S,1
RIML,SAADR,S,1
RIVL,SAADR,S,3
RMDDR,SAADR,EJ,1
SMBVR,SAADR,S,4
ALNL,SAAVL,S,3
DVA,SAAVL,S,1
RIML,SAAVL,S,3
RIMR,SAAVL,S,2
RMDVL,SAAVL,EJ,1
SMBVR,SAAVL,EJ,3
SMBDR,SAAVL,S,3
ADER,SAAVR,S,1
ALNR,SAAVR,S,2
DVA,SAAVR,S,1
RIML,SAAVR,S,2
RIMR,SAAVR,S,3
RMDVR,SAAVR,EJ,1
SMBVL,SAAVR,EJ,2
SMBDL,SAAVR,S,1
AVAR,SABD,S,1
AVDL,SABD,S,1
AVDR,SABD,S,1
AVEL,SABD,S,6
AVER,SABD,S,2
AVL,SABD,S,4
DVA,SABD,S,1
HSNR,SABD,S,1
PVR,SABD,S,1
AVAL,SABD,EJ,4
AVAR,SABVL,S,2
AVDL,SABVL,S,1
AVDR,SABVL,S,3
AVEL,SABVL,S,7
AVER,SABVL,S,3
AVJR,SABVL,S,1
AVL,SABVL,S,4
HSNL,SABVL,S,2
AVAR,SABVL,EJ,3
AVDL,SABVR,S,1
AVDR,SABVR,S,1
AVEL,SABVR,S,3
AVER,SABVR,S,3
AVL,SABVR,S,3
HSNR,SABVR,S,1
AVAL,SABVR,EJ,1
AVAR,SABVR,EJ,1
ALML,SDQL,S,1
BDUR,SDQL,S,1
SDQR,SDQL,EJ,1
AVAL,SDQR,EJ,1
AVBL,SDQR,EJ,1
RIVL,SDQR,EJ,2
RIVR,SDQR,EJ,2
SDQL,SDQR,EJ,1
SIBVL,SDQR,EJ,1
ALMR,SIADL,S,1
CEPDR,SIADL,S,1
RIAL,SIADL,S,2
RIAR,SIADL,S,1
RIBL,SIADL,EJ,1
ADEL,SIADR,S,1
CEPDL,SIADR,S,1
RIAR,SIADR,S,1
RIBR,SIADR,EJ,1
CEPVL,SIAVL,S,1
RIAR,SIAVL,S,1
RIVR,SIAVL,S,2
RMGL,SIAVL,S,1
RIBL,SIAVL,EJ,1
URBL,SIAVL,S,1
AVKL,SIAVR,S,1
CEPVR,SIAVR,S,2
RIVL,SIAVR,S,2
RIBR,SIAVR,EJ,1
URBR,SIAVR,S,2
URXR,SIAVR,S,1
OLQVL,SIBDL,S,3
RIBL,SIBDL,EJ,1
SIBVL,SIBDL,EJ,1
ADEL,SIBDR,S,1
OLQVR,SIBDR,S,4
RMDVR,SIBDR,S,1
AIML,SIBDR,EJ,1
RIBR,SIBDR,EJ,1
SIBVR,SIBDR,EJ,1
URYVR,SIBDR,S,1
AVM,SIBVL,S,1
OLQDL,SIBVL,S,3
PVCL,SIBVL,S,2
RMGL,SIBVL,S,2
AVBL,SIBVL,EJ,1
AVBR,SIBVL,EJ,1
RIBL,SIBVL,EJ,1
SDQR,SIBVL,EJ,1
SIBDL,SIBVL,EJ,1
URYVR,SIBVL,S,1
OLQDR,SIBVR,S,2
PVCR,SIBVR,S,2
RMDVR,SIBVR,S,1
RMGL,SIBVR,S,1
RIBL,SIBVR,EJ,1
RIBR,SIBVR,EJ,1
RMHL,SIBVR,EJ,1
SIBDR,SIBVR,EJ,1
URYVL,SIBVR,S,1
AIZL,SMBDL,S,8
ALNR,SMBDL,S,2
AVHR,SMBDL,S,1
AVKR,SMBDL,S,1
AWBL,SMBDL,S,1
DVA,SMBDL,S,3
RICL,SMBDL,S,2
AVKL,SMBDL,EJ,1
AVKR,SMBDL,EJ,1
RIBL,SMBDL,EJ,1
SAADL,SMBDL,EJ,1
URBR,SMBDL,S,1
ADEL,SMBDR,S,1
ADFR,SMBDR,S,1
AIZR,SMBDR,S,5
ALNL,SMBDR,S,2
AVHL,SMBDR,S,1
CEPDL,SMBDR,S,1
CEPDR,SMBDR,S,1
DVA,SMBDR,S,2
PVT,SMBDR,S,1
RICR,SMBDR,S,1
ALNL,SMBDR,EJ,1
AVKL,SMBDR,EJ,1
AVKR,SMBDR,EJ,2
RIBR,SMBDR,EJ,1
URBL,SMBDR,S,1
ADFL,SMBVL,S,2
AIML,SMBVL,S,1
AIZL,SMBVL,S,7
AVHR,SMBVL,S,1
DVA,SMBVL,S,3
PLNL,SMBVL,S,5
RMGL,SMBVL,S,1
SAAVR,SMBVL,EJ,2
ADFR,SMBVR,S,2
AIZR,SMBVR,S,3
AVHL,SMBVR,S,2
AWBR,SMBVR,S,1
DVA,SMBVR,S,2
PLNR,SMBVR,S,4
AVKL,SMBVR,EJ,1
AVKR,SMBVR,EJ,1
SAAVL,SMBVR,EJ,3
AIBR,SMDDL,S,2
AVKR,SMDDL,S,1
OLLL,SMDDL,S,2
RIAL,SMDDL,S,5
RIAR,SMDDL,S,5
RIBR,SMDDL,S,1
RICL,SMDDL,S,3
RICR,SMDDL,S,4
RIMR,SMDDL,S,2
RIVR,SMDDL,S,2
SAAVR,SMDDL,S,6
RIBL,SMDDL,EJ,1
RIBR,SMDDL,EJ,1
RIS,SMDDL,EJ,1
RMDDL,SMDDL,EJ,1
SMDVR,SMDDL,S,2
URYDL,SMDDL,S,1
URYDR,SMDDL,S,3
AIBL,SMDDR,S,4
AIZR,SMDDR,S,1
ALNR,SMDDR,S,1
AVKL,SMDDR,S,1
AVKR,SMDDR,S,2
OLLL,SMDDR,S,3
OLLR,SMDDR,S,1
RIAL,SMDDR,S,7
RIAR,SMDDR,S,6
RICL,SMDDR,S,3
RICR,SMDDR,S,3
RIML,SMDDR,S,4
RIMR,SMDDR,S,4
RIS,SMDDR,S,2
RIVL,SMDDR,S,1
RMEV,SMDDR,S,1
SAAVL,SMDDR,S,8
RIBR,SMDDR,EJ,1
RIS,SMDDR,EJ,1
RMDDR,SMDDR,EJ,1
SMDVL,SMDDR,S,4
URYDL,SMDDR,S,1
ADAR,SMDVL,S,2
AIBR,SMDVL,S,1
ALNL,SMDVL,S,1
ALNR,SMDVL,S,1
OLLR,SMDVL,S,4
RIAL,SMDVL,S,5
RIAR,SMDVL,S,11
RICR,SMDVL,S,2
RIML,SMDVL,S,1
RIBR,SMDVL,EJ,2
RIS,SMDVL,EJ,1
RIVL,SMDVL,EJ,1
RMDVL,SMDVL,EJ,1
SMDVR,SMDVL,EJ,1
URYVR,SMDVL,S,3
ADAL,SMDVR,S,2
OLLL,SMDVR,S,4
OLLR,SMDVR,S,3
RIAL,SMDVR,S,10
RIAR,SMDVR,S,6
RIBL,SMDVR,S,2
RICL,SMDVR,S,1
RICR,SMDVR,S,1
RIS,SMDVR,S,1
RIVR,SMDVR,S,2
SMDDL,SMDVR,S,2
RIBL,SMDVR,EJ,2
RIVR,SMDVR,EJ,2
RMDVR,SMDVR,EJ,1
SMDVL,SMDVR,EJ,1
URYVL,SMDVR,S,3
BDUL,URADL,S,1
CEPDL,URADL,S,2
IL2DL,URADL,S,2
PVR,URADL,S,1
BDUR,URADR,S,1
CEPDR,URADR,S,1
IL2DR,URADR,S,3
CEPVL,URAVL,S,2
IL2VL,URAVL,S,3
CEPVR,URAVR,S,1
IL2VR,URAVR,S,4
ADEL,URBL,S,1
CEPDL,URBL,S,4
OLQDL,URBL,EJ,1
OLQVL,URBL,EJ,1
CEPDR,URBR,S,2
IL2R,URBR,S,1
OLQDR,URBR,EJ,1
OLQVR,URBR,EJ,1
RMFL,URBR,EJ,1
AQR,URXL,S,1
IL2L,URXL,S,2
RIR,URXL,S,5
RMGL,URXL,S,1
URBL,URXL,S,2
RMGL,URXL,EJ,1
ADFR,URXR,S,1
AUAR,URXR,S,1
IL1R,URXR,S,2
IL2VR,URXR,S,1
RIR,URXR,S,1
RMGR,URXR,S,1
URBR,URXR,S,4
IL2R,URXR,EJ,1
RMGR,URXR,EJ,1
CEPDL,URYDL,S,2
IL1DL,URYDL,S,1
OLLL,URYDL,S,1
RMDDR,URYDL,S,1
AVAL,URYDL,EJ,1
RIGL,URYDL,EJ,1
CEPDR,URYDR,S,1
URADR,URYDR,S,1
AVAR,URYDR,EJ,1
RIGR,URYDR,EJ,1
IL1VL,URYVL,S,1
AVAR,URYVL,EJ,1
RIGL,URYVL,EJ,1
RIH,URYVR,S,1
RIS,URYVR,S,1
AVAL,URYVR,EJ,1
RIGR,URYVR,EJ,1
